Contig_ID	Length(bp)	Mapped_Reads	RPM	RPKM
k141_10	1072	50	12.3198	11.4923
k141_100	1909	72	17.7405	9.2931
k141_100003	1816	83	20.4509	11.2615
k141_100007	1200	21	5.1743	4.3119
k141_10001	2051	121	29.8139	14.5363
k141_100017	2352	88	21.6828	9.2189
k141_100032	1255	35	8.6239	6.8716
k141_100033	1371	65	16.0157	11.6818
k141_100034	1655	56	13.7982	8.3373
k141_100038	1272	28	6.8991	5.4238
k141_100040	1867	60	14.7838	7.9185
k141_100043	2702	85	20.9437	7.7512
k141_100048	1926	107	26.3644	13.6887
k141_10005	1623	36	8.8703	5.4653
k141_100053	1983	77	18.9725	9.5676
k141_100055	1535	45	11.0878	7.2233
k141_100057	1533	56	13.7982	9.0008
k141_100066	2877	127	31.2923	10.8767
k141_100067	1206	35	8.6239	7.1508
k141_100071	1212	25	6.1599	5.0824
k141_100072	1305	27	6.6527	5.0978
k141_100076	1318	23	5.6671	4.2998
k141_100077	1048	51	12.5662	11.9906
k141_100083	1627	54	13.3054	8.1779
k141_100087	1337	71	17.4941	13.0846
k141_100088	1137	32	7.8847	6.9346
k141_100093	1418	36	8.8703	6.2555
k141_100094	14891	1101	271.2819	18.2178
k141_100098	1898	59	14.5374	7.6593
k141_100108	1281	37	9.1166	7.1168
k141_100114	1133	34	8.3775	7.3941
k141_100123	1019	31	7.6383	7.4959
k141_100128	1441	42	10.3486	7.1816
k141_100132	1980	100	24.6396	12.4442
k141_100137	1503	64	15.7693	10.4919
k141_100138	1595	47	11.5806	7.2606
k141_10014	1322	45	11.0878	8.3872
k141_100145	2241	90	22.1756	9.8954
k141_100147	2153	107	26.3644	12.2454
k141_100148	1277	36	8.8703	6.9462
k141_100151	1379	60	14.7838	10.7206
k141_100152	1274	35	8.6239	6.7691
k141_100153	1172	26	6.4063	5.4661
k141_100157	1719	47	11.5806	6.7368
k141_10016	1057	26	6.4063	6.0608
k141_100160	1038	22	5.4207	5.2223
k141_100161	1340	30	7.3919	5.5163
k141_100164	1692	59	14.5374	8.5918
k141_100165	1658	71	17.4941	10.5513
k141_100166	1110	23	5.6671	5.1055
k141_100176	1306	33	8.1311	6.2259
k141_100177	1216	31	7.6383	6.2815
k141_100178	1829	55	13.5518	7.4094
k141_100181	1037	34	8.3775	8.0786
k141_100186	2440	105	25.8716	10.6031
k141_100187	9451	478	117.7772	12.4619
k141_100190	6181	332	81.8034	13.2347
k141_100191	8135	441	108.6606	13.3572
k141_100196	1704	45	11.0878	6.5069
k141_100197	3667	189	46.5688	12.6994
k141_100199	1149	51	12.5662	10.9366
k141_10020	1209	33	8.1311	6.7254
k141_100202	1497	35	8.6239	5.7608
k141_100203	1004	28	6.8991	6.8716
k141_100210	1770	38	9.3630	5.2899
k141_100211	1495	47	11.5806	7.7462
k141_100213	1108	17	4.1887	3.7804
k141_100219	1083	54	13.3054	12.2857
k141_100221	2997	134	33.0171	11.0167
k141_100222	1213	34	8.3775	6.9064
k141_100226	1128	30	7.3919	6.5531
k141_10023	1131	35	8.6239	7.6250
k141_100231	1554	31	7.6383	4.9152
k141_100236	3123	114	28.0891	8.9943
k141_100240	1738	47	11.5806	6.6632
k141_100242	2777	98	24.1468	8.6953
k141_100245	1830	47	11.5806	6.3282
k141_100249	1446	50	12.3198	8.5199
k141_10025	1258	26	6.4063	5.0924
k141_100250	2505	82	20.2045	8.0657
k141_100252	1379	36	8.8703	6.4324
k141_100255	1407	34	8.3775	5.9541
k141_100256	1517	40	9.8558	6.4969
k141_100257	1197	51	12.5662	10.4981
k141_100262	1792	50	12.3198	6.8749
k141_100265	2383	84	20.6973	8.6854
k141_100269	1638	50	12.3198	7.5212
k141_100272	1137	37	9.1166	8.0182
k141_100273	1412	32	7.8847	5.5840
k141_100283	2043	67	16.5085	8.0805
k141_100290	1295	33	8.1311	6.2788
k141_100295	1327	75	18.4797	13.9259
k141_1003	1381	27	6.6527	4.8173
k141_10030	1052	20	4.9279	4.6843
k141_100300	4119	200	49.2792	11.9639
k141_100304	2508	72	17.7405	7.0736
k141_100305	1534	43	10.5950	6.9068
k141_100309	2766	188	46.3224	16.7471
k141_100310	2715	105	25.8716	9.5291
k141_100311	2055	82	20.2045	9.8319
k141_100312	2304	101	24.8860	10.8012
k141_100317	1036	21	5.1743	4.9945
k141_100319	1090	41	10.1022	9.2681
k141_100323	1668	50	12.3198	7.3860
k141_100328	1229	75	18.4797	15.0364
k141_10033	1657	48	11.8270	7.1376
k141_100333	1227	33	8.1311	6.6268
k141_10034	1265	45	11.0878	8.7651
k141_100342	1527	37	9.1166	5.9703
k141_100348	1191	66	16.2621	13.6542
k141_100349	1527	68	16.7549	10.9724
k141_100353	1110	23	5.6671	5.1055
k141_10036	1487	45	11.0878	7.4565
k141_100360	1249	35	8.6239	6.9046
k141_100371	6908	434	106.9358	15.4800
k141_100372	3415	225	55.4391	16.2340
k141_100374	2540	65	16.0157	6.3054
k141_100375	1060	30	7.3919	6.9735
k141_100376	1309	36	8.8703	6.7764
k141_100378	1032	28	6.8991	6.6852
k141_100381	1382	25	6.1599	4.4572
k141_100384	1865	59	14.5374	7.7948
k141_100388	1219	24	5.9135	4.8511
k141_100389	3170	112	27.5963	8.7055
k141_100397	1088	23	5.6671	5.2087
k141_100402	3282	100	24.6396	7.5075
k141_100403	2238	66	16.2621	7.2664
k141_100406	1023	55	13.5518	13.2471
k141_100409	1127	31	7.6383	6.7775
k141_100413	1954	68	16.7549	8.5747
k141_100415	1991	52	12.8126	6.4353
k141_100416	1247	35	8.6239	6.9157
k141_100418	1340	35	8.6239	6.4357
k141_10042	1791	58	14.2910	7.9793
k141_100421	1101	16	3.9423	3.5807
k141_100422	2881	139	34.2490	11.8879
k141_100435	2871	101	24.8860	8.6681
k141_100437	1019	20	4.9279	4.8360
k141_100443	1306	43	10.5950	8.1126
k141_100445	1283	50	12.3198	9.6023
k141_100455	1801	57	14.0446	7.7982
k141_100456	1346	49	12.0734	8.9698
k141_10046	3148	106	26.1180	8.2967
k141_100463	3169	157	38.6842	12.2071
k141_100464	1475	21	5.1743	3.5080
k141_100465	1314	46	11.3342	8.6257
k141_100466	1035	23	5.6671	5.4755
k141_100470	2432	88	21.6828	8.9156
k141_100471	1579	68	16.7549	10.6111
k141_100476	1164	28	6.8991	5.9270
k141_100477	1243	35	8.6239	6.9379
k141_10048	4415	361	88.9489	20.1470
k141_100480	1256	38	9.3630	7.4547
k141_100482	1584	64	15.7693	9.9554
