tax_id,rank,name,spades_reads,megahit_reads,total_reads,detection,agreement_ratio
10239,R1,Viruses,2456.0,1341.0,3797.0,Consensus (Both),0.5460097719869706
3420545,O,Pantevenvirales,123.0,37.0,160.0,Consensus (Both),0.3008130081300813
2060084,G,Pandoravirus,55.0,19.0,74.0,Consensus (Both),0.34545454545454546
186789,G,Punavirus,21.0,32.0,53.0,Consensus (Both),0.65625
1407493,S,Shigella phage SfIV,27.0,16.0,43.0,Consensus (Both),0.5925925925925926
2732978,G,Eganvirus,35.0,5.0,40.0,Consensus (Both),0.14285714285714285
2842249,O,Timlovirales,21.0,14.0,35.0,Consensus (Both),0.6666666666666666
186794,G,Lederbergvirus,26.0,8.0,34.0,Consensus (Both),0.3076923076923077
3429951,S,Inibicvirus 613R3,29.0,4.0,33.0,Consensus (Both),0.13793103448275862
2946085,S1,Escherichia phage vB_EcoM-613R3,29.0,4.0,33.0,Consensus (Both),0.13793103448275862
2843421,G,Menderavirus,20.0,13.0,33.0,Consensus (Both),0.65
3153064,G,Inibicvirus,29.0,4.0,33.0,Consensus (Both),0.13793103448275862
548681,O,Herpesvirales,27.0,6.0,33.0,Consensus (Both),0.2222222222222222
1623286,G,Casadabanvirus,29.0,4.0,33.0,Consensus (Both),0.13793103448275862
2510480,S1,Klebsiella phage ST147-VIM1phi7.1,22.0,9.0,31.0,Consensus (Both),0.4090909090909091
2845097,S,Vimunumvirus ST147VIM1phi71,22.0,9.0,31.0,Consensus (Both),0.4090909090909091
10680,S,Enterobacteria phage P4,24.0,7.0,31.0,Consensus (Both),0.2916666666666667
2843116,G,Vimunumvirus,22.0,9.0,31.0,Consensus (Both),0.4090909090909091
1590550,S1,Escherichia phage RCS47,14.0,15.0,29.0,Consensus (Both),0.9333333333333333
2560452,S,Punavirus RCS47,14.0,15.0,29.0,Consensus (Both),0.9333333333333333
2283028,S1,Pseudomonas phage YMC12/01/R24,26.0,3.0,29.0,Consensus (Both),0.11538461538461539
3059848,S,Casadabanvirus R24,26.0,3.0,29.0,Consensus (Both),0.11538461538461539
140410,G,Peduovirus,24.0,4.0,28.0,Consensus (Both),0.16666666666666666
2041344,S1,Mycobacterium phage Kumao,20.0,7.0,27.0,Consensus (Both),0.35
2948790,G,Kumaovirus,20.0,7.0,27.0,Consensus (Both),0.35
2956095,S,Kumaovirus kumao,20.0,7.0,27.0,Consensus (Both),0.35
3044751,G,Ludhianavirus,18.0,8.0,26.0,Consensus (Both),0.4444444444444444
3420540,O,Autographivirales,18.0,7.0,25.0,Consensus (Both),0.3888888888888889
2732554,O,Imitervirales,18.0,7.0,25.0,Consensus (Both),0.3888888888888889
2650877,S1,Stenotrophomonas phage Mendera,14.0,10.0,24.0,Consensus (Both),0.7142857142857143
2846389,S,Menderavirus mendera,14.0,10.0,24.0,Consensus (Both),0.7142857142857143
2948833,G,Myrnavirus,22.0,2.0,24.0,Consensus (Both),0.09090909090909091
2786405,S1,ssRNA phage SRR5466369_2,12.0,10.0,22.0,Consensus (Both),0.8333333333333334
2842702,G,Gihfavirus,12.0,10.0,22.0,Consensus (Both),0.8333333333333334
2844652,S,Gihfavirus pelohabitans,12.0,10.0,22.0,Consensus (Both),0.8333333333333334
1982880,G,Likavirus,15.0,7.0,22.0,Consensus (Both),0.4666666666666667
446529,S1,Microbacterium phage Min1,18.0,3.0,21.0,Consensus (Both),0.16666666666666666
2560595,S,Minunavirus Min1,18.0,3.0,21.0,Consensus (Both),0.16666666666666666
2560178,G,Minunavirus,18.0,3.0,21.0,Consensus (Both),0.16666666666666666
906669,S,Escherichia phage HK639,14.0,6.0,20.0,Consensus (Both),0.42857142857142855
2733152,G,Bertelyvirus,14.0,6.0,20.0,Consensus (Both),0.42857142857142855
3152625,G,Pumpernickelvirus,13.0,7.0,20.0,Consensus (Both),0.5384615384615384
3432031,S,Pumpernickelvirus pumpernickel,13.0,7.0,20.0,Consensus (Both),0.5384615384615384
2885983,S1,Microbacterium phage Pumpernickel,13.0,7.0,20.0,Consensus (Both),0.5384615384615384
2716352,S1,Escherichia phage 500465-2,12.0,7.0,19.0,Consensus (Both),0.5833333333333334
2955946,S,Gemsvirus gv5004652,12.0,7.0,19.0,Consensus (Both),0.5833333333333334
2948724,G,Gemsvirus,12.0,7.0,19.0,Consensus (Both),0.5833333333333334
2894794,S1,Enterobacter phage vB_EclS_CobraSix,10.0,8.0,18.0,Consensus (Both),0.8
3044690,G,Cobrasixvirus,10.0,8.0,18.0,Consensus (Both),0.8
3059893,S,Cobrasixvirus cobrasix,10.0,8.0,18.0,Consensus (Both),0.8
1980923,S,Mieseafarmvirus RSL1,11.0,6.0,17.0,Consensus (Both),0.5454545454545454
1980921,G,Mieseafarmvirus,11.0,6.0,17.0,Consensus (Both),0.5454545454545454
1349409,S,Pandoravirus dulcis,13.0,4.0,17.0,Consensus (Both),0.3076923076923077
1980924,S1,Ralstonia phage phiRSL1,11.0,6.0,17.0,Consensus (Both),0.5454545454545454
2014434,S,Escherichia phage D6,13.0,4.0,17.0,Consensus (Both),0.3076923076923077
3152619,G,Gilgameshvirus,12.0,3.0,15.0,Consensus (Both),0.25
3429029,S,Gilgameshvirus gilgamesh,12.0,3.0,15.0,Consensus (Both),0.25
2946797,G,Anayavirus,11.0,4.0,15.0,Consensus (Both),0.36363636363636365
2599890,S1,Streptomyces phage Gilgamesh,12.0,3.0,15.0,Consensus (Both),0.25
1196844,G,Hpunavirus,10.0,5.0,15.0,Consensus (Both),0.5
2170091,S,Pulverervirus PFR1,12.0,2.0,14.0,Consensus (Both),0.16666666666666666
2843442,G,Radostvirus,8.0,6.0,14.0,Consensus (Both),0.75
2843343,G,Aguilavirus,10.0,4.0,14.0,Consensus (Both),0.4
2847061,S1,Escherichia phage ev099,8.0,6.0,14.0,Consensus (Both),0.75
2024264,S1,Agrobacterium phage Atu_ph07,11.0,3.0,14.0,Consensus (Both),0.2727272727272727
1147158,S,Enterobacteria phage mEp390,10.0,4.0,14.0,Consensus (Both),0.4
2732555,O,Pimascovirales,9.0,5.0,14.0,Consensus (Both),0.5555555555555556
2844247,S,Radostvirus ev099,8.0,6.0,14.0,Consensus (Both),0.75
1647458,S,Salmonella phage SEN22,8.0,6.0,14.0,Consensus (Both),0.75
1838138,S1,Propionibacterium phage PFR2,12.0,2.0,14.0,Consensus (Both),0.16666666666666666
2169655,G,Pulverervirus,12.0,2.0,14.0,Consensus (Both),0.16666666666666666
2560207,G,Polybotosvirus,11.0,3.0,14.0,Consensus (Both),0.2727272727272727
2592223,S1,Salmonella phage SW9,12.0,2.0,14.0,Consensus (Both),0.16666666666666666
2846110,S,Eganvirus SW9,12.0,2.0,14.0,Consensus (Both),0.16666666666666666
2560286,S,Polybotosvirus Atuph07,11.0,3.0,14.0,Consensus (Both),0.2727272727272727
2845070,S,Kinglevirus lutadaptatum,9.0,4.0,13.0,Consensus (Both),0.4444444444444444
2842802,G,Kinglevirus,9.0,4.0,13.0,Consensus (Both),0.4444444444444444
2786389,S1,ssRNA phage SRR5466337_3,9.0,4.0,13.0,Consensus (Both),0.4444444444444444
3403061,R2,Viruses incertae sedis,12.0,1.0,13.0,Consensus (Both),0.08333333333333333
1982150,G,Gilesvirus,8.0,5.0,13.0,Consensus (Both),0.625
1982151,S,Gilesvirus giles,8.0,5.0,13.0,Consensus (Both),0.625
2732524,O,Algavirales,8.0,5.0,13.0,Consensus (Both),0.625
480808,S1,Mycobacterium phage Giles,8.0,5.0,13.0,Consensus (Both),0.625
10319,G,Varicellovirus,10.0,2.0,12.0,Consensus (Both),0.2
2948939,G,Unicornvirus,8.0,4.0,12.0,Consensus (Both),0.5
2733153,G,Colossusvirus,8.0,4.0,12.0,Consensus (Both),0.5
2283272,S1,Caulobacter phage CcrSC,8.0,4.0,12.0,Consensus (Both),0.5
2734193,S,Bertelyvirus SC,8.0,4.0,12.0,Consensus (Both),0.5
3044679,G,Branisovskavirus,6.0,6.0,12.0,Consensus (Both),1.0
3059793,S,Branisovskavirus Kc263,6.0,6.0,12.0,Consensus (Both),1.0
186764,G,Fromanvirus,10.0,2.0,12.0,Consensus (Both),0.2
1982557,G,Smoothievirus,9.0,3.0,12.0,Consensus (Both),0.3333333333333333
2027899,S2,Mycobacterium phage Phabba,11.0,1.0,12.0,Consensus (Both),0.09090909090909091
2956211,S1,Myranavirus phabba,11.0,1.0,12.0,Consensus (Both),0.09090909090909091
3430982,S,Myrnavirus phabba,11.0,1.0,12.0,Consensus (Both),0.09090909090909091
2863194,S1,Kosakonia phage Kc263,6.0,6.0,12.0,Consensus (Both),1.0
2283271,S1,Caulobacter phage CcrPW,7.0,4.0,11.0,Consensus (Both),0.5714285714285714
1623297,G,Stanholtvirus,10.0,1.0,11.0,Consensus (Both),0.1
2840070,O,Lefavirales,10.0,1.0,11.0,Consensus (Both),0.1
10713,S,Enterobacteria phage phi80,6.0,5.0,11.0,Consensus (Both),0.8333333333333334
2734195,S,Colossusvirus PW,7.0,4.0,11.0,Consensus (Both),0.5714285714285714
2733140,G,Wellingtonvirus,7.0,4.0,11.0,Consensus (Both),0.5714285714285714
2080449,S,Acanthamoeba castellanii medusavirus,8.0,3.0,11.0,Consensus (Both),0.375
2734153,S,Wellingtonvirus wellington,7.0,4.0,11.0,Consensus (Both),0.5714285714285714
2843450,G,Sarumanvirus,7.0,4.0,11.0,Consensus (Both),0.5714285714285714
10663,G,Tequatrovirus,7.0,4.0,11.0,Consensus (Both),0.5714285714285714
2843451,G,Sawaravirus,7.0,3.0,10.0,Consensus (Both),0.42857142857142855
2499072,S1,Streptomyces phage Hiyaa,8.0,2.0,10.0,Consensus (Both),0.25
2733180,G,Hiyaavirus,8.0,2.0,10.0,Consensus (Both),0.25
2844234,S,Sawaravirus WGPS2,7.0,3.0,10.0,Consensus (Both),0.42857142857142855
2948764,G,Immutovirus,5.0,5.0,10.0,Consensus (Both),1.0
1226260,S1,Stx2-converting phage Stx2a_WGPS2,7.0,3.0,10.0,Consensus (Both),0.42857142857142855
2733154,G,Poindextervirus,6.0,4.0,10.0,Consensus (Both),0.6666666666666666
680115,G,Phikzvirus,6.0,4.0,10.0,Consensus (Both),0.6666666666666666
2560190,G,Noxifervirus,7.0,3.0,10.0,Consensus (Both),0.42857142857142855
2560671,S,Noxifervirus noxifer,7.0,3.0,10.0,Consensus (Both),0.42857142857142855
